LS1_DriftRatio	LS2_DriftRatio	LS3_DriftRatio	LS4_DriftRatio
0.0101233	0.0160653	0.0211270	0.0251984
0.0093565	0.0136375	0.0185805	0.0221996
0.0045877	0.0078373	0.0108957	0.0135719
0.0045103	0.0085806	0.0118808	0.0149610
0.0096581	0.0226204	0.0341848	0.0446690
0.0073899	0.0126860	0.0189674	0.0219233
0.0110122	0.0144176	0.0205208	0.0229089
0.0144691	0.0212555	0.0261852	0.0302827
0.0055872	0.0087533	0.0106157	0.0119194
0.0067772	0.0129551	0.0185336	0.0235589
0.0099320	0.0141783	0.0176329	0.0204397
0.0080354	0.0128870	0.0167278	0.0198611
0.0061380	0.0109120	0.0150040	0.0185503
0.0120887	0.0138850	0.0190313	0.0211189
0.0077785	0.0134432	0.0179243	0.0216445
0.0030352	0.0070043	0.0096893	0.0124910
0.0118868	0.0213366	0.0294933	0.0365557
0.0105126	0.0176003	0.0245987	0.0302272
0.0072596	0.0097569	0.0132996	0.0156808
0.0062707	0.0158956	0.0237705	0.0306974
0.0079068	0.0152785	0.0218477	0.0278224
0.0071526	0.0148160	0.0207147	0.0255914
0.0046731	0.0070096	0.0090123	0.0106813
0.0101427	0.0120133	0.0209090	0.0233199
0.0077362	0.0132160	0.0178094	0.0214357
0.0078776	0.0137070	0.0170156	0.0189063
0.0131124	0.0164241	0.0213916	0.0243005
0.0114635	0.0189851	0.0269895	0.0330630
0.0104136	0.0188331	0.0249260	0.0301330
0.0056013	0.0104558	0.0145634	0.0181108
0.0102945	0.0131132	0.0164222	0.0183830
0.0113528	0.0176051	0.0204569	0.0218829
0.0066138	0.0099206	0.0126764	0.0148810
0.0106775	0.0229163	0.0327376	0.0420047
0.0186687	0.0210077	0.0288477	0.0326593
0.0119110	0.0200800	0.0270895	0.0330450
0.0073208	0.0170485	0.0247705	0.0307876
0.0094358	0.0177449	0.0244344	0.0309480
0.0111184	0.0195060	0.0260892	0.0306732
0.0101310	0.0157355	0.0193999	0.0228488
0.0097821	0.0164649	0.0233092	0.0287005
0.0103077	0.0155646	0.0207184	0.0250133
0.0051032	0.0098049	0.0127865	0.0149654
0.0121696	0.0212876	0.0292291	0.0350014
0.0079223	0.0150490	0.0214134	0.0260210
0.0131508	0.0281271	0.0412779	0.0519946
0.0076156	0.0106075	0.0135993	0.0153673
0.0158951	0.0231565	0.0293887	0.0335627
0.0115575	0.0173362	0.0204248	0.0213215
0.0071851	0.0103784	0.0125073	0.0143701
0.0081569	0.0103723	0.0133933	0.0155081
0.0044250	0.0074470	0.0092818	0.0101452
0.0085988	0.0205784	0.0310147	0.0404218
0.0070034	0.0121487	0.0155790	0.0190092
0.0082192	0.0150416	0.0196616	0.0244427
0.0136721	0.0236154	0.0323850	0.0395317
0.0100046	0.0170141	0.0227883	0.0272657
0.0174071	0.0241023	0.0298887	0.0346710
0.0091914	0.0128530	0.0157673	0.0180839
0.0063054	0.0123205	0.0172985	0.0216542
0.0158019	0.0251394	0.0314601	0.0364161
0.0100963	0.0266670	0.0407024	0.0527002
0.0105211	0.0156063	0.0209544	0.0253383
0.0137489	0.0265097	0.0369555	0.0450580
0.0105404	0.0144442	0.0180357	0.0203000
0.0082013	0.0120794	0.0150674	0.0171018
0.0078187	0.0138559	0.0188044	0.0224664
0.0120713	0.0246227	0.0336077	0.0431756
0.0100981	0.0120597	0.0156921	0.0173630
0.0140597	0.0207404	0.0238681	0.0254471
0.0135413	0.0273471	0.0397777	0.0499865
0.0070313	0.0122100	0.0163783	0.0193255
0.0073862	0.0112892	0.0157377	0.0191371
0.0117751	0.0164656	0.0208629	0.0240876
0.0074937	0.0141548	0.0190749	0.0231623
0.0060982	0.0103767	0.0134258	0.0155897
0.0100518	0.0179362	0.0245875	0.0311642
0.0107623	0.0189095	0.0241063	0.0273584
0.0083056	0.0210260	0.0314268	0.0408548
0.0063188	0.0109401	0.0145239	0.0173532
0.0119985	0.0244055	0.0336921	0.0412330
0.0038117	0.0072422	0.0096246	0.0121021
0.0051677	0.0115905	0.0169797	0.0211877
0.0054410	0.0095549	0.0131380	0.0167211
0.0076904	0.0124072	0.0167139	0.0206103
0.0121546	0.0184715	0.0235759	0.0267625
0.0090822	0.0183357	0.0254759	0.0329586
0.0095424	0.0215557	0.0320779	0.0415777
0.0070729	0.0127985	0.0158297	0.0173453
0.0083704	0.0120175	0.0147080	0.0165614
0.0077755	0.0110303	0.0130194	0.0146468
0.0115437	0.0218525	0.0300135	0.0366714
0.0093956	0.0119309	0.0144662	0.0159575
0.0124385	0.0253110	0.0356765	0.0440652
0.0052646	0.0090053	0.0120532	0.0142699
0.0139122	0.0253790	0.0309764	0.0345632
0.0091820	0.0123443	0.0150874	0.0166496
0.0129786	0.0264979	0.0379083	0.0485075
0.0143819	0.0200203	0.0236975	0.0258220
0.0120016	0.0256153	0.0371391	0.0489616
0.0034095	0.0062261	0.0074120	0.0081532
0.0063658	0.0091146	0.0112847	0.0127315
0.0155888	0.0200724	0.0274066	0.0319199
0.0141695	0.0223414	0.0293911	0.0355640
0.0066762	0.0095575	0.0119469	0.0129308
0.0046693	0.0088981	0.0126863	0.0163865
0.0090841	0.0231437	0.0346401	0.0441388
0.0095738	0.0200664	0.0295809	0.0383840
0.0081711	0.0105307	0.0145944	0.0174783
0.0122399	0.0227537	0.0326711	0.0407996
0.0066785	0.0162409	0.0231472	0.0286872
0.0096403	0.0151957	0.0191989	0.0224668
0.0161298	0.0189223	0.0248825	0.0280500
0.0158197	0.0282633	0.0383436	0.0482792
0.0045449	0.0071762	0.0083722	0.0100466
0.0056617	0.0091280	0.0135187	0.0161762
0.0053194	0.0084157	0.0109563	0.0126236
0.0086164	0.0151403	0.0194486	0.0231413
0.0089853	0.0203745	0.0336521	0.0436104
0.0099297	0.0175577	0.0232788	0.0278490
0.0060820	0.0101366	0.0133804	0.0164889
0.0066967	0.0108467	0.0144308	0.0172604
0.0109905	0.0239339	0.0344267	0.0444215
0.0101108	0.0215520	0.0295785	0.0359643
0.0144912	0.0182913	0.0228515	0.0254356
0.0184025	0.0252133	0.0308454	0.0351677
0.0085912	0.0250018	0.0402043	0.0534603
0.0122168	0.0249447	0.0329188	0.0411996
0.0055618	0.0087954	0.0111236	0.0131931
0.0076556	0.0123987	0.0173915	0.0218017
0.0102480	0.0337580	0.0528840	0.0707494
0.0055190	0.0106529	0.0143750	0.0175837
0.0041164	0.0069979	0.0089189	0.0104282
0.0137816	0.0248570	0.0336422	0.0414283
0.0083857	0.0151029	0.0197237	0.0230608
0.0058336	0.0089326	0.0109379	0.0123963
0.0111640	0.0166514	0.0214197	0.0255447
0.0109384	0.0137164	0.0152790	0.0177965
0.0083926	0.0150769	0.0198302	0.0233952
0.0118671	0.0201181	0.0259752	0.0299479
0.0052347	0.0096696	0.0133775	0.0163584
0.0126108	0.0214513	0.0287316	0.0345171
0.0102852	0.0220314	0.0306218	0.0362903
0.0050511	0.0080078	0.0099789	0.0119501
0.0105263	0.0187257	0.0255401	0.0313017
0.0091878	0.0171910	0.0255410	0.0322441
0.0087621	0.0162406	0.0221006	0.0269002
0.0091114	0.0234807	0.0334565	0.0406232
0.0069528	0.0132103	0.0188796	0.0238535
0.0121644	0.0111283	0.0174982	0.0202994
0.0105730	0.0208117	0.0297548	0.0381547
0.0090198	0.0129332	0.0164171	0.0188987
0.0118262	0.0190879	0.0230300	0.0259347
0.0050522	0.0105934	0.0140159	0.0174384
0.0121462	0.0193554	0.0268731	0.0330444
0.0087153	0.0121442	0.0167162	0.0195737
0.0198926	0.0266432	0.0313110	0.0359790
0.0044364	0.0089809	0.0126599	0.0152568
0.0122950	0.0198647	0.0272968	0.0328480
0.0078322	0.0122037	0.0154823	0.0182144
0.0054605	0.0092020	0.0121850	0.0147636
0.0150050	0.0206716	0.0262021	0.0301913
0.0083432	0.0125149	0.0152620	0.0178057
0.0171981	0.0196548	0.0257186	0.0282278
0.0119703	0.0260085	0.0376584	0.0491918
0.0132912	0.0202562	0.0265823	0.0317902
0.0134625	0.0226737	0.0302317	0.0363724
0.0085444	0.0121676	0.0161694	0.0191977
0.0051469	0.0080173	0.0097000	0.0108878
0.0120754	0.0270259	0.0372803	0.0452827
0.0044753	0.0070017	0.0085898	0.0093838
0.0131607	0.0188080	0.0229330	0.0256829
0.0137374	0.0217510	0.0271887	0.0308138
0.0034631	0.0066788	0.0091524	0.0111313
0.0080607	0.0171017	0.0249444	0.0323153
0.0050483	0.0091694	0.0125693	0.0149389
0.0050295	0.0080279	0.0103493	0.0123804
0.0107340	0.0258671	0.0398125	0.0512063
0.0112855	0.0163333	0.0213812	0.0245541
0.0084195	0.0163050	0.0216031	0.0263673
0.0111626	0.0201520	0.0279561	0.0353649
0.0103191	0.0122539	0.0162526	0.0178650
0.0062850	0.0129822	0.0186490	0.0239037
